zip_code,cases,cases_norm
97002,19,33.8
97003,88,34.0
97004,10,22.8
97005,84,33.7
97006,144,22.8
97007,116,17.3
97008,59,20.4
97009,16,20.6
97013,142,62.6
97014,1–9,n/a
97015,48,24.6
97016,1–9,n/a
97017,1–9,n/a
97018,1–-9,n/a
97019,15,47.5
97021,0,n/a
97022,1–-9,n/a
97023,15,15.3
97024,124,121.1
97026,59,154.7
97027,33,27.2
97030,177,48.2
97031,90,49.0
97032,60,119.0
97034,33,17.5
97035,52,21.7
97038,55,36.4
97040,1–9,n/a
97041,10,35.5
97042,12,41.1
97045,158,30.8
97048,10,14.9
97049,0,n/a
97051,11,6.9
97053,1–9,n/a
97054,0,n/a
97055,24,13.8
97056,16,13.9
97058,103,51.9
97060,97,45.7
97062,130,47.4
97063,1–9,n/a
97064,1–9,n/a
97067,0,n/a
97068,42,14.8
97070,47,22.4
97071,366,127.1
97078,113,52.7
97080,180,44.0
97086,70,26.9
97089,23,19.2
97101,1-9,n/a
97103,28,16.6
97106,1–9,n/a
97107,0,n/a
97110,0,n/a
97111,1–9,n/a
97112,0,n/a
97113,156,110.2
97114,16,33.6
97115,11,26.6
97116,148,61.4
97119,1–9,n/a
97121,1–-9,n/a
97123,295,66.2
97124,152,31.4
97127,1–9,n/a
97128,73,20.2
97131,1–9,n/a
97132,78,27.6
97133,1–9,n/a
97136,1–9,n/a
97137,0,n/a
97138,1–9,n/a
97140,45,19.2
97141,1–9,n/a
97146,16,27.1
97148,1–9,n/a
97201,33,21.3
97202,58,15.0
97203,151,48.6
97204,1–9,n/a
97205,1–9,n/a
97206,137,28.8
97209,58,38.8
97210,18,16.5
97211,82,26.2
97212,40,16.6
97213,66,22.6
97214,74,31.1
97215,23,14.0
97216,55,35.3
97217,84,26.7
97218,53,36.4
97219,94,24.3
97220,122,42.8
97221,16,13.8
97222,106,30.3
97223,128,27.4
97224,71,22.8
97225,56,23.2
97227,12,31.2
97229,94,16.1
97230,213,53.6
97231,12,28.0
97232,16,13.9
97233,358,90.9
97236,389,105.6
97239,12,8.5
97266,156,46.8
97267,85,27.6
97301,261,48.8
97302,115,31.0
97303,194,50.2
97304,120,42.2
97305,260,64.7
97306,113,41.3
97317,114,46.8
97321,45,18.1
97322,64,18.8
97324,0,n/a
97325,25,37.8
97327,1–9,n/a
97330,59,14.2
97331,1–9,n/a
97333,21,9.8
97338,15,7.5
97341,1-9,n/a
97344,0,n/a
97347,1–9,n/a
97348,1–9,n/a
97351,28,27.2
97352,11,19.6
97355,57,19.9
97358,0,n/a
97360,1–9,n/a
97361,13,11.5
97362,24,55.3
97365,296,275.5
97366,1–9,n/a
97367,15,15.9
97368,1–9,n/a
97370,16,19.3
97374,1–9,n/a
97375,1–9,n/a
97376,0,n/a
97378,1–9,n/a
97380,1–9,n/a
97381,53,36.0
97383,30,31.3
97385,15,46.1
97386,12,8.8
97389,1–9,n/a
97391,14,26.2
97392,18,34.7
97394,1–9,n/a
97396,1–9,n/a
97401,54,13.3
97402,56,11.1
97403,15,12.9
97404,18,5.6
97405,37,8.3
97408,11,9.4
97411,0,n/a
97415,1–9,n/a
97417,1–9,n/a
97419,0,n/a
97420,16,5.8
97423,1–9,n/a
97424,10,5.7
97426,1–9,n/a
97431,0,n/a
97435,1–9,n/a
97437,0,n/a
97438,1–9,n/a
97439,11,7.7
97442,0,n/a
97443,1–9,n/a
97444,1–9,n/a
97446,1–9,n/a
97448,1–9,n/a
97449,0,n/a
97452,0,n/a
97454,0,n/a
97455,1–9,n/a
97456,0,n/a
97457,1–9,n/a
97458,0,n/a
97459,36,25.5
97462,1–9,n/a
97463,1–9,n/a
97465,0,n/a
97467,1–9,n/a
97469,1–9,n/a
97470,14,7.0
97471,13,4.5
97477,23,6.2
97478,38,10.3
97479,1–9,n/a
97487,1–9,n/a
97488,1–9,n/a
97495,1–9,n/a
97496,1–9,n/a
97497,0,n/a
97498,1–9,n/a
97499,0,n/a
97501,44,10.4
97502,31,11.2
97503,26,24.7
97504,36,8.1
97520,11,4.5
97523,1–9,n/a
97524,12,8.3
97525,1–9,n/a
97526,24,7.0
97527,14,4.2
97530,1–9,n/a
97532,1–9,n/a
97535,1–9,n/a
97537,1–9,n/a
97538,0,n/a
97539,1–9,n/a
97540,1–9,n/a
97541,0,n/a
97544,0,n/a
97601,51,22.7
97603,50,16.9
97623,1–9,n/a
97624,1–9,n/a
97630,21,41.2
97632,1–9,n/a
97633,1–9,n/a
97641,0,n/a
97701,70,11.9
97702,79,19.5
97703,43,13.0
97707,1–9,n/a
97708,1–9,n/a
97720,1–9,n/a
97734,11,39.5
97738,0,n/a
97739,1–9,n/a
97741,56,47.0
97753,0,n/a
97754,18,9.7
97756,51,15.2
97759,1–9,n/a
97760,11,16.3
97761,98,245.8
97801,145,67.4
97813,1–9,n/a
97814,10,8.1
97818,83,200.0
97820,0,n/a
97824,1–9,n/a
97826,1–9,n/a
97827,10,38.1
97828,1–9,n/a
97836,1–9,n/a
97838,629,248.2
97844,60,157.6
97845,1–9,n/a
97846,1–9,n/a
97850,316,186.4
97862,18,15.4
97865,0,n/a
97868,10,50.2
97869,0,n/a
97875,44,168.6
97882,163,210.1
97883,1–9,n/a
97885,1–9,n/a
97886,1–9,n/a
97913,56,101.3
97914,307,159.9
97918,30,66.1
